Input,Output
"[0.4924262982280616, 0.9292666918735691, 1.1394373045709005, 0.45398900975191747, 0.803693486740606]","[0.4340380820501375, 0.8700517007298609, 1.2311862248316556, 0.552556827868761, 0.8121903644470801]"
"[0.4340380820501375, 0.8700517007298609, 1.2311862248316556, 0.552556827868761, 0.8121903644470801]","[0.4647383496645161, 0.776612495443083, 1.1711229500698175, 0.46234282805065974, 0.8710208331743226]"
"[0.4647383496645161, 0.776612495443083, 1.1711229500698175, 0.46234282805065974, 0.8710208331743226]","[0.45408948326206644, 0.790179961288823, 1.267200278450421, 0.4160251608786082, 0.820131210432073]"
"[0.45408948326206644, 0.790179961288823, 1.267200278450421, 0.4160251608786082, 0.820131210432073]","[0.539764036628432, 0.837952699538266, 1.2606134904131676, 0.486795488216863, 0.8415284829839463]"
"[0.539764036628432, 0.837952699538266, 1.2606134904131676, 0.486795488216863, 0.8415284829839463]","[0.4840333804255834, 0.851660580748436, 1.3331446300828895, 0.4288597142989168, 0.8172791213671633]"
"[0.4840333804255834, 0.851660580748436, 1.3331446300828895, 0.4288597142989168, 0.8172791213671633]","[0.4908681792192931, 0.9330428335684764, 1.4000943761061635, 0.39356385110012737, 0.8703417492176151]"
"[0.4908681792192931, 0.9330428335684764, 1.4000943761061635, 0.39356385110012737, 0.8703417492176151]","[0.5179821099404036, 0.964772525341915, 1.3233401865142986, 0.30604564703441434, 0.7988407450171409]"
"[0.5179821099404036, 0.964772525341915, 1.3233401865142986, 0.30604564703441434, 0.7988407450171409]","[0.603338580354819, 1.0595450927672458, 1.351655609640215, 0.3087347270188272, 0.7099317506155182]"
"[0.603338580354819, 1.0595450927672458, 1.351655609640215, 0.3087347270188272, 0.7099317506155182]","[0.5295012626890353, 1.1563950886095695, 1.4116109045192975, 0.23834980636665343, 0.7817312098273699]"
"[0.5295012626890353, 1.1563950886095695, 1.4116109045192975, 0.23834980636665343, 0.7817312098273699]","[0.5038555493823891, 1.203391058565013, 1.480735263367342, 0.3050362072407581, 0.689205695471674]"
"[0.5038555493823891, 1.203391058565013, 1.480735263367342, 0.3050362072407581, 0.689205695471674]","[0.5822211463393465, 1.1643899315948543, 1.4661614769122229, 0.3995502531771625, 0.7652134030729079]"
"[0.5822211463393465, 1.1643899315948543, 1.4661614769122229, 0.3995502531771625, 0.7652134030729079]","[0.5564457327509514, 1.0695393471130612, 1.4391045190602743, 0.34792081704724237, 0.8208121142553175]"
"[0.5564457327509514, 1.0695393471130612, 1.4391045190602743, 0.34792081704724237, 0.8208121142553175]","[0.4807735116871514, 1.1362638215871872, 1.5213087942182195, 0.3625456717630866, 0.86306922333519]"
"[0.4807735116871514, 1.1362638215871872, 1.5213087942182195, 0.3625456717630866, 0.86306922333519]","[0.5323963717571129, 1.0768554610515302, 1.4501185504623533, 0.3477788291968902, 0.8392742410962443]"
"[0.5323963717571129, 1.0768554610515302, 1.4501185504623533, 0.3477788291968902, 0.8392742410962443]","[0.5477041189678351, 1.1458638776138683, 1.5233083343312792, 0.3080163381487401, 0.9204485090950676]"
"[0.5477041189678351, 1.1458638776138683, 1.5233083343312792, 0.3080163381487401, 0.9204485090950676]","[0.5766196024312071, 1.1126605406931578, 1.559971930793574, 0.22551749913294017, 0.8244378794333748]"
"[0.5766196024312071, 1.1126605406931578, 1.559971930793574, 0.22551749913294017, 0.8244378794333748]","[0.5169735693311895, 1.0784233481455903, 1.5429714041562204, 0.23465938187009155, 0.8256063926139987]"
"[0.5169735693311895, 1.0784233481455903, 1.5429714041562204, 0.23465938187009155, 0.8256063926139987]","[0.5198751999888573, 1.1405653042534667, 1.5811706194265807, 0.2882454621278595, 0.7397465751725729]"
"[0.5198751999888573, 1.1405653042534667, 1.5811706194265807, 0.2882454621278595, 0.7397465751725729]","[0.47104928572006705, 1.2007250161689393, 1.6799563164926328, 0.2386515940818678, 0.6689711916140723]"
"[0.47104928572006705, 1.2007250161689393, 1.6799563164926328, 0.2386515940818678, 0.6689711916140723]","[0.45758393699071165, 1.2692079279533992, 1.770013272474577, 0.236425836625969, 0.7666210445427848]"
"[0.45758393699071165, 1.2692079279533992, 1.770013272474577, 0.236425836625969, 0.7666210445427848]","[0.47467282123882204, 1.1964952826536526, 1.7743212119955203, 0.27051584398776163, 0.8580845110305725]"
"[0.47467282123882204, 1.1964952826536526, 1.7743212119955203, 0.27051584398776163, 0.8580845110305725]","[0.37523757628570087, 1.1048966118871257, 1.7120898995935476, 0.17837454754881987, 0.8910574007590158]"
"[0.37523757628570087, 1.1048966118871257, 1.7120898995935476, 0.17837454754881987, 0.8910574007590158]","[0.3874215346485961, 1.1370716870365039, 1.7369541766433576, 0.11810432661260989, 0.9811470609821811]"
"[0.3874215346485961, 1.1370716870365039, 1.7369541766433576, 0.11810432661260989, 0.9811470609821811]","[0.41603355101959755, 1.132391092782371, 1.6768474667956113, 0.11586663373613769, 1.050897268281639]"
"[0.41603355101959755, 1.132391092782371, 1.6768474667956113, 0.11586663373613769, 1.050897268281639]","[0.40070367568415105, 1.2273839711576553, 1.5909391032583735, 0.02968777690870439, 1.0309836785136042]"
"[0.40070367568415105, 1.2273839711576553, 1.5909391032583735, 0.02968777690870439, 1.0309836785136042]","[0.4935287090586017, 1.2686052010779447, 1.595549440301272, -0.037740496785132555, 1.0680471168285584]"
"[0.4935287090586017, 1.2686052010779447, 1.595549440301272, -0.037740496785132555, 1.0680471168285584]","[0.460148256684671, 1.2457390765556635, 1.6916295784750572, -0.006558332508572934, 1.0659399591926544]"
"[0.460148256684671, 1.2457390765556635, 1.6916295784750572, -0.006558332508572934, 1.0659399591926544]","[0.5179259383418214, 1.2046834840783651, 1.7549360631472326, 0.015150457031432238, 1.106944854932061]"
"[0.5179259383418214, 1.2046834840783651, 1.7549360631472326, 0.015150457031432238, 1.106944854932061]","[0.5898750580407197, 1.1217071163432308, 1.8369030501895454, 0.02758195805411763, 1.1339295796781865]"
"[0.5898750580407197, 1.1217071163432308, 1.8369030501895454, 0.02758195805411763, 1.1339295796781865]","[0.6493176694306418, 1.1340414647188204, 1.7802327367870356, 0.07401006704695744, 1.1110317955312525]"
"[0.6493176694306418, 1.1340414647188204, 1.7802327367870356, 0.07401006704695744, 1.1110317955312525]","[0.6545709946323724, 1.1051542859949657, 1.7645322452242422, 0.06579941758244715, 1.0265153291784193]"
"[0.6545709946323724, 1.1051542859949657, 1.7645322452242422, 0.06579941758244715, 1.0265153291784193]","[0.675348695528173, 1.191114062947947, 1.8621222049872013, 0.1288065490128455, 0.9601553547153975]"
"[0.675348695528173, 1.191114062947947, 1.8621222049872013, 0.1288065490128455, 0.9601553547153975]","[0.7354841048983349, 1.1591154251221036, 1.9186598928025922, 0.17831436599136727, 0.8695390254937599]"
"[0.7354841048983349, 1.1591154251221036, 1.9186598928025922, 0.17831436599136727, 0.8695390254937599]","[0.6810856153478042, 1.094598201534042, 1.9447900047115925, 0.09899896168165258, 0.7879927313043977]"
"[0.6810856153478042, 1.094598201534042, 1.9447900047115925, 0.09899896168165258, 0.7879927313043977]","[0.7382228082899229, 0.9978443612265547, 1.8661268425349573, 0.053230145355504334, 0.7250187287775415]"
"[0.7382228082899229, 0.9978443612265547, 1.8661268425349573, 0.053230145355504334, 0.7250187287775415]","[0.6963357918483623, 1.0276500129782276, 1.9052822076667255, 0.010433386582340685, 0.7831870609413958]"
"[0.6963357918483623, 1.0276500129782276, 1.9052822076667255, 0.010433386582340685, 0.7831870609413958]","[0.6266391643237622, 1.0989280498070333, 1.8395479140314093, -0.05049991789597689, 0.7256387420622962]"
"[0.6266391643237622, 1.0989280498070333, 1.8395479140314093, -0.05049991789597689, 0.7256387420622962]","[0.7122844225083431, 1.0440974182006908, 1.8146457409492434, 0.045973958754826426, 0.801017584671572]"
"[0.7122844225083431, 1.0440974182006908, 1.8146457409492434, 0.045973958754826426, 0.801017584671572]","[0.6131254618872205, 1.0840139231075658, 1.7652962117474775, -0.007048452445990651, 0.8317328963094501]"
"[0.6131254618872205, 1.0840139231075658, 1.7652962117474775, -0.007048452445990651, 0.8317328963094501]","[0.5233699665628395, 1.1181162295653841, 1.7476958363033346, -0.09593214393636382, 0.8139082801048958]"
"[0.5233699665628395, 1.1181162295653841, 1.7476958363033346, -0.09593214393636382, 0.8139082801048958]","[0.4487980998174115, 1.0974215614932232, 1.6920345361431903, -0.1643064795614555, 0.8206974848666343]"
"[0.4487980998174115, 1.0974215614932232, 1.6920345361431903, -0.1643064795614555, 0.8206974848666343]","[0.38705793217420636, 1.0335066062737133, 1.6478218810663388, -0.09828050758808984, 0.843915228943262]"
"[0.38705793217420636, 1.0335066062737133, 1.6478218810663388, -0.09828050758808984, 0.843915228943262]","[0.4642291883258959, 0.9594592526152343, 1.5832897212871049, -0.060356861418669944, 0.8747704984906031]"
"[0.4642291883258959, 0.9594592526152343, 1.5832897212871049, -0.060356861418669944, 0.8747704984906031]","[0.41666291838156405, 0.9501615288225259, 1.5451629723943054, -0.05692206144407158, 0.9244814709856815]"
"[0.41666291838156405, 0.9501615288225259, 1.5451629723943054, -0.05692206144407158, 0.9244814709856815]","[0.4630156129703602, 1.0042956908252367, 1.4875790286798198, -0.05868880825000465, 0.943615007919518]"
"[0.4630156129703602, 1.0042956908252367, 1.4875790286798198, -0.05868880825000465, 0.943615007919518]","[0.5205699864599402, 1.0648440355904838, 1.4206561004715375, -0.11540835886433637, 0.9106529032355787]"
"[0.5205699864599402, 1.0648440355904838, 1.4206561004715375, -0.11540835886433637, 0.9106529032355787]","[0.5849595238191785, 1.063408116507595, 1.4081897950714897, -0.04637569487344825, 0.9437783174047103]"
"[0.5849595238191785, 1.063408116507595, 1.4081897950714897, -0.04637569487344825, 0.9437783174047103]","[0.6179262771113971, 1.072048755660048, 1.356622358341913, -0.035593141664396435, 0.958919687697307]"
"[0.6179262771113971, 1.072048755660048, 1.356622358341913, -0.035593141664396435, 0.958919687697307]","[0.544826955235858, 1.1475968342970282, 1.3529295482323758, -0.0446263669971024, 0.9436672436406804]"
"[0.544826955235858, 1.1475968342970282, 1.3529295482323758, -0.0446263669971024, 0.9436672436406804]","[0.5868926893556995, 1.1539882804502586, 1.396132910498692, -0.060719972287291285, 0.8637093060912251]"
"[0.5868926893556995, 1.1539882804502586, 1.396132910498692, -0.060719972287291285, 0.8637093060912251]","[0.5090051829398742, 1.231259682908839, 1.4426147365250133, -0.012087029977255359, 0.9379947223910986]"
"[0.5090051829398742, 1.231259682908839, 1.4426147365250133, -0.012087029977255359, 0.9379947223910986]","[0.5536075837347851, 1.3130961077409609, 1.5234410785090189, 0.07477837926798805, 0.9769275529330438]"
"[0.5536075837347851, 1.3130961077409609, 1.5234410785090189, 0.07477837926798805, 0.9769275529330438]","[0.4818631990744961, 1.317614761974085, 1.609781319178936, 0.15079397642855505, 0.9163758293719056]"
"[0.4818631990744961, 1.317614761974085, 1.609781319178936, 0.15079397642855505, 0.9163758293719056]","[0.5181731231451496, 1.3333560090771286, 1.7053166032370446, 0.06673600869530213, 1.0063006917437236]"
"[0.5181731231451496, 1.3333560090771286, 1.7053166032370446, 0.06673600869530213, 1.0063006917437236]","[0.43443190956376965, 1.3552398280643865, 1.6297460146835285, 0.08804974627400113, 0.9224027671410225]"
"[0.43443190956376965, 1.3552398280643865, 1.6297460146835285, 0.08804974627400113, 0.9224027671410225]","[0.46172203850193044, 1.3523838971415478, 1.629229870938952, 0.1360195424316597, 0.8927712456006363]"
"[0.46172203850193044, 1.3523838971415478, 1.629229870938952, 0.1360195424316597, 0.8927712456006363]","[0.48351223542867006, 1.4516629749312755, 1.6975658017651223, 0.14130313021048616, 0.9180515874187258]"
"[0.48351223542867006, 1.4516629749312755, 1.6975658017651223, 0.14130313021048616, 0.9180515874187258]","[0.4247480008522933, 1.4484949423391373, 1.7321439198371085, 0.1437886776208126, 1.0178715924525803]"
"[0.4247480008522933, 1.4484949423391373, 1.7321439198371085, 0.1437886776208126, 1.0178715924525803]","[0.4818270913109145, 1.4588092205513141, 1.6867286259411107, 0.2432460829537248, 0.9698112777579411]"
"[0.4818270913109145, 1.4588092205513141, 1.6867286259411107, 0.2432460829537248, 0.9698112777579411]","[0.4543449031860529, 1.4216898184274651, 1.6973890157392681, 0.2867853643024925, 0.8923760376176739]"
"[0.4543449031860529, 1.4216898184274651, 1.6973890157392681, 0.2867853643024925, 0.8923760376176739]","[0.5141203557106211, 1.484571006613793, 1.7045283549795065, 0.1947154987624916, 0.8481486813582103]"
"[0.5141203557106211, 1.484571006613793, 1.7045283549795065, 0.1947154987624916, 0.8481486813582103]","[0.4519994916732657, 1.5477917110470558, 1.6657547542923201, 0.21843748880257213, 0.7790410777820937]"
"[0.4519994916732657, 1.5477917110470558, 1.6657547542923201, 0.21843748880257213, 0.7790410777820937]","[0.49686494412643006, 1.6447520465197778, 1.6282417193110557, 0.29291134434798605, 0.8645227293832949]"
"[0.49686494412643006, 1.6447520465197778, 1.6282417193110557, 0.29291134434798605, 0.8645227293832949]","[0.5673588294001048, 1.5558916965273688, 1.665567445540125, 0.2150446701281835, 0.8111954776136425]"
"[0.5673588294001048, 1.5558916965273688, 1.665567445540125, 0.2150446701281835, 0.8111954776136425]","[0.46887112433996264, 1.589364783058425, 1.6759725983579805, 0.1337255024313638, 0.8453164762864215]"
"[0.46887112433996264, 1.589364783058425, 1.6759725983579805, 0.1337255024313638, 0.8453164762864215]","[0.3694092990454935, 1.6198516390416897, 1.6469884557292702, 0.04541385844122309, 0.8983411872747692]"
"[0.3694092990454935, 1.6198516390416897, 1.6469884557292702, 0.04541385844122309, 0.8983411872747692]","[0.3061960884177882, 1.7067027822796517, 1.558174461920372, 0.12536154943013536, 0.8239244741877616]"
"[0.3061960884177882, 1.7067027822796517, 1.558174461920372, 0.12536154943013536, 0.8239244741877616]","[0.3543697536008563, 1.6919093418961195, 1.5503053532319249, 0.11173292542504476, 0.7673685495955425]"
"[0.3543697536008563, 1.6919093418961195, 1.5503053532319249, 0.11173292542504476, 0.7673685495955425]","[0.28014519135227844, 1.5970761800230315, 1.5581162594348907, 0.07480414405061377, 0.8300970097814178]"
"[0.28014519135227844, 1.5970761800230315, 1.5581162594348907, 0.07480414405061377, 0.8300970097814178]","[0.32213443445277873, 1.519538752647159, 1.622032994202484, 0.018562638894233895, 0.87003561505317]"
"[0.32213443445277873, 1.519538752647159, 1.622032994202484, 0.018562638894233895, 0.87003561505317]","[0.359313352035175, 1.5684384978141062, 1.5570040735016766, -0.019629288614666014, 0.8569086050866255]"
"[0.359313352035175, 1.5684384978141062, 1.5570040735016766, -0.019629288614666014, 0.8569086050866255]","[0.4356622613581502, 1.5330525573105942, 1.4775446962761598, 0.0062158599555482905, 0.9177242003419464]"
"[0.4356622613581502, 1.5330525573105942, 1.4775446962761598, 0.0062158599555482905, 0.9177242003419464]","[0.44850689593706816, 1.601870763831579, 1.4107443046054626, 0.000489393937357023, 0.9422594551586452]"
"[0.44850689593706816, 1.601870763831579, 1.4107443046054626, 0.000489393937357023, 0.9422594551586452]","[0.5085469757260628, 1.5385713474863367, 1.4863298475271933, 0.07548607404539878, 0.9367507818707494]"
"[0.5085469757260628, 1.5385713474863367, 1.4863298475271933, 0.07548607404539878, 0.9367507818707494]","[0.42460292372237185, 1.4860770792429536, 1.4587765336762737, 0.016466586578128564, 0.9821765870234497]"
"[0.42460292372237185, 1.4860770792429536, 1.4587765336762737, 0.016466586578128564, 0.9821765870234497]","[0.3312650998720058, 1.4509801740040413, 1.4383232546986788, 0.025233746012627983, 0.9020606638511857]"
"[0.3312650998720058, 1.4509801740040413, 1.4383232546986788, 0.025233746012627983, 0.9020606638511857]","[0.37403525365351187, 1.419496157738405, 1.4599135583616134, 0.11078636585786678, 0.9220880034226976]"
"[0.37403525365351187, 1.419496157738405, 1.4599135583616134, 0.11078636585786678, 0.9220880034226976]","[0.41998628382845304, 1.458380587771841, 1.3874265309894172, 0.1688469233541832, 1.007572122920373]"
"[0.41998628382845304, 1.458380587771841, 1.3874265309894172, 0.1688469233541832, 1.007572122920373]","[0.3995006959906187, 1.3864607888468417, 1.3232892135402343, 0.159167419423906, 0.9622793140260915]"
"[0.3995006959906187, 1.3864607888468417, 1.3232892135402343, 0.159167419423906, 0.9622793140260915]","[0.40522916037948686, 1.3220267134175043, 1.2625158902839828, 0.18139068154252141, 1.0386096912790181]"
"[0.40522916037948686, 1.3220267134175043, 1.2625158902839828, 0.18139068154252141, 1.0386096912790181]","[0.4433503922489133, 1.270663038443332, 1.3422823404066433, 0.08887850906116584, 1.0293671138639289]"
